"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"LAN","SID184626","LAN2530_20250902","Doylestown","0","2530","004538","1"
"NOR","SID184626","NOR2547_20250902","Center City Philadelphia","1","2547","228004","1"
"PAO","SID184626","PAO2547_20250902","Malvern","1","2547","007501","1"
"NOR","SID184626","NOR2553_20250902","Center City Philadelphia","1","2553","228004","1"
"PAO","SID184626","PAO2553_20250902","Malvern","1","2553","007501","1"
"NOR","SID184626","NOR2555_20250902","Center City Philadelphia","1","2555","228004","1"
"PAO","SID184626","PAO2555_20250902","Malvern","1","2555","007501","1"
"NOR","SID184626","NOR2565_20250902","Center City Philadelphia","1","2565","228004","1"
"PAO","SID184626","PAO2565_20250902","Malvern","1","2565","007501","1"
"WIL","SID184625","WIL2708_20250831","Center City Philadelphia","0","2708","201007","1"
"CHE","SID184625","CHE2708_20250831","Chestnut Hill East","0","2708","004720","1"
"WIL","SID184625","WIL2712_20250831","Center City Philadelphia","0","2712","201007","1"
"CHE","SID184625","CHE2712_20250831","Chestnut Hill East","0","2712","004720","1"
"WIL","SID184625","WIL2716_20250831","Center City Philadelphia","0","2716","201007","1"
"CHE","SID184625","CHE2716_20250831","Chestnut Hill East","0","2716","004720","1"
"WIL","SID184625","WIL2720_20250831","Center City Philadelphia","0","2720","201007","1"
"CHE","SID184625","CHE2720_20250831","Chestnut Hill East","0","2720","004720","1"
"WIL","SID184625","WIL2724_20250831","Center City Philadelphia","0","2724","201007","1"
"CHE","SID184625","CHE2724_20250831","Chestnut Hill East","0","2724","004720","1"
"WIL","SID184625","WIL2728_20250831","Center City Philadelphia","0","2728","201007","1"
"CHE","SID184625","CHE2728_20250831","Chestnut Hill East","0","2728","004720","1"
"WIL","SID184625","WIL2732_20250831","Center City Philadelphia","0","2732","201007","1"
"CHE","SID184625","CHE2732_20250831","Chestnut Hill East","0","2732","004720","1"
"WIL","SID184625","WIL2736_20250831","Center City Philadelphia","0","2736","201007","1"
"CHE","SID184625","CHE2736_20250831","Chestnut Hill East","0","2736","004720","1"
"WIL","SID184625","WIL2740_20250831","Center City Philadelphia","0","2740","201007","1"
