service_id,date,exception_type
29,20151115,1
29,20151122,1
29,20151129,1
29,20151206,1
29,20151213,1
29,20151220,1
30,20150630,1
30,20150702,1
30,20150706,1
30,20150707,1
30,20150709,1
30,20150710,1
30,20150713,1
30,20150714,1
30,20150716,1
30,20150717,1
30,20150720,1
30,20150721,1
30,20150723,1
30,20150724,1
30,20150727,1
30,20150728,1
30,20150730,1
30,20150731,1
30,20150803,1
30,20150804,1
30,20150806,1
30,20150807,1
30,20150810,1
30,20150811,1
30,20150813,1
30,20150814,1
30,20150817,1
30,20150818,1
30,20150820,1
30,20150821,1
30,20150824,1
30,20150825,1
30,20150827,1
30,20150828,1
30,20150831,1
30,20150901,1
30,20150903,1
30,20150904,1
30,20150907,1
30,20150908,1
30,20150910,1
30,20150911,1
30,20150914,1
30,20150915,1
30,20150917,1
30,20150918,1
30,20150921,1
30,20150922,1
30,20150924,1
30,20150925,1
30,20150928,1
30,20150929,1
30,20151001,1
30,20151002,1
30,20151005,1
30,20151006,1
30,20151008,1
30,20151009,1
30,20151012,1
30,20151013,1
30,20151015,1
30,20151016,1
30,20151019,1
30,20151020,1
30,20151022,1
30,20151023,1
30,20151026,1
30,20151027,1
30,20151029,1
30,20151030,1
30,20151102,1
30,20151103,1
30,20151105,1
30,20151106,1
30,20151109,1
30,20151110,1
30,20151112,1
30,20151113,1
30,20151116,1
30,20151117,1
30,20151119,1
30,20151120,1
30,20151123,1
30,20151124,1
30,20151126,1
30,20151127,1
30,20151130,1
30,20151201,1
30,20151203,1
30,20151204,1
30,20151207,1
30,20151208,1
30,20151210,1
30,20151211,1
30,20151214,1
30,20151215,1
30,20151217,1
30,20151218,1
30,20151221,1
30,20151222,1
30,20151224,1
30,20151225,1
31,20150720,1
31,20150721,1
31,20150722,1
31,20150723,1
31,20150724,1
31,20150727,1
31,20150728,1
31,20150729,1
31,20150730,1
31,20150731,1
31,20150803,1
31,20150804,1
31,20150805,1
31,20150806,1
31,20150807,1
31,20150810,1
31,20150811,1
31,20150812,1
31,20150813,1
31,20150814,1
31,20150817,1
31,20150818,1
31,20150819,1
31,20150820,1
31,20150821,1
31,20150824,1
31,20150825,1
31,20150826,1
31,20150827,1
31,20150828,1
31,20150831,1
31,20150901,1
31,20150902,1
31,20150903,1
31,20150904,1
31,20150907,1
31,20150908,1
31,20150909,1
31,20150910,1
31,20150911,1
31,20150914,1
31,20150915,1
31,20150916,1
31,20150917,1
31,20150918,1
31,20150921,1
31,20150922,1
31,20150923,1
31,20150924,1
31,20150925,1
31,20150928,1
31,20150929,1
31,20150930,1
31,20151001,1
31,20151002,1
31,20151005,1
31,20151006,1
31,20151007,1
31,20151008,1
31,20151009,1
31,20151012,1
31,20151013,1
31,20151014,1
31,20151015,1
31,20151016,1
31,20151019,1
31,20151020,1
31,20151021,1
31,20151022,1
31,20151023,1
31,20151026,1
31,20151027,1
31,20151028,1
31,20151029,1
31,20151030,1
31,20151102,1
31,20151103,1
31,20151104,1
31,20151105,1
31,20151106,1
31,20151109,1
31,20151110,1
31,20151111,1
31,20151112,1
31,20151113,1
31,20151116,1
31,20151117,1
31,20151118,1
31,20151119,1
31,20151120,1
31,20151123,1
31,20151124,1
31,20151125,1
31,20151126,1
31,20151127,1
31,20151130,1
31,20151201,1
31,20151202,1
31,20151203,1
31,20151204,1
31,20151207,1
31,20151208,1
31,20151209,1
31,20151210,1
31,20151211,1
31,20151214,1
31,20151215,1
31,20151216,1
31,20151217,1
31,20151218,1
31,20151221,1
31,20151222,1
31,20151223,1
31,20151224,1
31,20151225,1
32,20150703,1
32,20150710,1
32,20150717,1
32,20150724,1
32,20150731,1
32,20150807,1
32,20150814,1
32,20150821,1
32,20150828,1
32,20150904,1
32,20150911,1
32,20150918,1
32,20150925,1
32,20151002,1
32,20151009,1
32,20151016,1
32,20151023,1
32,20151030,1
32,20151106,1
32,20151113,1
32,20151120,1
32,20151127,1
32,20151204,1
32,20151211,1
32,20151218,1
32,20151225,1
