from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
90005,90005,4,MED3548_20260622_SID189324_SID189324,LAN3548_20260622_SID189324_SID189324
90005,90005,4,WTR3549_20260622_SID186626,PAO3549_20260622_SID186626
90005,90005,4,WTR3549_20260622_SID189836_SID189836,PAO3549_20260622_SID189836_SID189836
90005,90005,4,MED3550_20260621_SID186629,LAN3550_20260621_SID186629
90005,90005,4,MED3550_20260621_SID189327_SID189327,LAN3550_20260621_SID189327_SID189327
90005,90005,4,MED3552_20260622_SID186626,LAN3552_20260622_SID186626
90005,90005,4,MED3552_20260622_SID189324_SID189324,LAN3552_20260622_SID189324_SID189324
90005,90005,4,WTR3553_20260622_SID186626,PAO3553_20260622_SID186626
90005,90005,4,WTR3553_20260622_SID189836_SID189836,PAO3553_20260622_SID189836_SID189836
90005,90005,4,MED3554_20260621_SID186629,LAN3554_20260621_SID186629
90005,90005,4,MED3554_20260621_SID189327_SID189327,LAN3554_20260621_SID189327_SID189327
90005,90005,4,MED3556_20260622_SID186626,LAN3556_20260622_SID186626
90005,90005,4,MED3556_20260622_SID189324_SID189324,LAN3556_20260622_SID189324_SID189324
90005,90005,4,WTR3557_20260622_SID186626,PAO3557_20260622_SID186626
90005,90005,4,WTR3557_20260622_SID189836_SID189836,PAO3557_20260622_SID189836_SID189836
90005,90005,4,MED3558_20260621_SID186629,LAN3558_20260621_SID186629
90005,90005,4,MED3558_20260621_SID189327_SID189327,LAN3558_20260621_SID189327_SID189327
90005,90005,4,MED3560_20260622_SID186626,LAN3560_20260622_SID186626
90005,90005,4,MED3560_20260622_SID189324_SID189324,LAN3560_20260622_SID189324_SID189324
90005,90005,4,WTR3561_20260622_SID186626,PAO3561_20260622_SID186626
90005,90005,4,WTR3561_20260622_SID189836_SID189836,PAO3561_20260622_SID189836_SID189836
90005,90005,4,MED3562_20260621_SID186629,LAN3562_20260621_SID186629
90005,90005,4,MED3562_20260621_SID189327_SID189327,LAN3562_20260621_SID189327_SID189327
90005,90005,4,MED3564_20260622_SID186626,LAN3564_20260622_SID186626
90005,90005,4,MED3564_20260622_SID189324_SID189324,LAN3564_20260622_SID189324_SID189324
90005,90005,4,MED3566_20260621_SID186629,LAN3566_20260621_SID186629
90005,90005,4,MED3566_20260621_SID189327_SID189327,LAN3566_20260621_SID189327_SID189327
90005,90005,4,MED3568_20260622_SID186626,LAN3568_20260622_SID186626
90005,90005,4,MED3568_20260622_SID189324_SID189324,LAN3568_20260622_SID189324_SID189324
90005,90005,4,MED3570_20260621_SID186629,LAN3570_20260621_SID186629
90005,90005,4,MED3570_20260621_SID189327_SID189327,LAN3570_20260621_SID189327_SID189327
90005,90005,4,MED3572_20260622_SID186626,LAN3572_20260622_SID186626
90005,90005,4,MED3572_20260622_SID189324_SID189324,LAN3572_20260622_SID189324_SID189324
90005,90005,4,MED3574_20260621_SID186629,LAN3574_20260621_SID186629
90005,90005,4,MED3574_20260621_SID189327_SID189327,LAN3574_20260621_SID189327_SID189327
90005,90005,4,MED3784_20260622_SID186626,CHE3784_20260622_SID186626
90005,90005,4,MED3784_20260622_SID189324_SID189324,CHE3784_20260622_SID189324_SID189324
90005,90005,4,MED3786_20260622_SID186626,CHE3786_20260622_SID186626
90005,90005,4,MED3786_20260622_SID189324_SID189324,CHE3786_20260622_SID189324_SID189324
90005,90005,4,WTR3807_20260621_SID186629,CHW3807_20260621_SID186629
90005,90005,4,WTR3807_20260621_SID189779_SID189779,CHW3807_20260621_SID189779_SID189779
90005,90005,4,WTR3811_20260621_SID186629,CHW3811_20260621_SID186629
90005,90005,4,WTR3811_20260621_SID189779_SID189779,CHW3811_20260621_SID189779_SID189779
90005,90005,4,WTR3815_20260621_SID186629,CHW3815_20260621_SID186629
90005,90005,4,WTR3815_20260621_SID189779_SID189779,CHW3815_20260621_SID189779_SID189779
90005,90005,4,WTR3819_20260621_SID186629,CHW3819_20260621_SID186629
