route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
WTR,SID189411,WTR8336_20260718_SID189411,Yardley,0,8336,004327,0,1,WTR8336
CHW,SID189324,CHW834_20260622_SID189324,Center City Philadelphia,0,834,801007,0,1,CHW834
FOX,SID189324,FOX834_20260622_SID189324,Fox Chase,0,834,004815,0,1,FOX834
CHW,SID189779,CHW8344_20260621_SID189779,Center City Philadelphia,0,8344,801007,0,1,CHW8344
WTR,SID189779,WTR8344_20260621_SID189779,West Trenton,0,8344,004327,0,1,WTR8344
CHW,SID189411,CHW8344_20260718_SID189411,Center City Philadelphia,0,8344,801007,0,1,CHW8344
WTR,SID189411,WTR8344_20260718_SID189411,Woodbourne,0,8344,004327,0,1,WTR8344
CHW,SID189779,CHW8352_20260621_SID189779,Center City Philadelphia,0,8352,801007,0,1,CHW8352
WTR,SID189779,WTR8352_20260621_SID189779,West Trenton,0,8352,004327,0,1,WTR8352
CHW,SID189411,CHW8352_20260718_SID189411,Center City Philadelphia,0,8352,801007,0,1,CHW8352
WTR,SID189411,WTR8352_20260718_SID189411,Yardley,0,8352,004327,0,1,WTR8352
CHW,SID189779,CHW8360_20260621_SID189779,Center City Philadelphia,0,8360,801007,0,1,CHW8360
WTR,SID189779,WTR8360_20260621_SID189779,West Trenton,0,8360,004327,0,1,WTR8360
CHW,SID189411,CHW8360_20260718_SID189411,Center City Philadelphia,0,8360,801007,0,1,CHW8360
WTR,SID189411,WTR8360_20260718_SID189411,Yardley,0,8360,004327,0,1,WTR8360
CHW,SID189779,CHW8368_20260621_SID189779,Center City Philadelphia,0,8368,801007,0,1,CHW8368
WTR,SID189779,WTR8368_20260621_SID189779,West Trenton,0,8368,004327,0,1,WTR8368
CHW,SID189411,CHW8368_20260718_SID189411,Center City Philadelphia,0,8368,801007,0,1,CHW8368
WTR,SID189411,WTR8368_20260718_SID189411,Yardley,0,8368,004327,0,1,WTR8368
FOX,SID189324,FOX837_20260622_SID189324,Center City Philadelphia,1,837,815005,0,1,FOX837
CHW,SID189324,CHW837_20260622_SID189324,Chestnut Hill West,1,837,007801,0,1,CHW837
CHW,SID189779,CHW8376_20260621_SID189779,Center City Philadelphia,0,8376,801007,0,1,CHW8376
WTR,SID189779,WTR8376_20260621_SID189779,West Trenton,0,8376,004327,0,1,WTR8376
CHW,SID189411,CHW8376_20260718_SID189411,Center City Philadelphia,0,8376,801007,0,1,CHW8376
WTR,SID189411,WTR8376_20260718_SID189411,Yardley,0,8376,004327,0,1,WTR8376
CHW,SID189324,CHW838_20260622_SID189324,Center City Philadelphia,0,838,801007,0,1,CHW838
FOX,SID189324,FOX838_20260622_SID189324,Fox Chase,0,838,004815,2,1,FOX838
FOX,SID189324,FOX841_20260622_SID189324,Center City Philadelphia,1,841,815005,0,1,FOX841
CHW,SID189324,CHW841_20260622_SID189324,Chestnut Hill West,1,841,007801,2,1,CHW841
CHW,SID189324,CHW842_20260622_SID189324,Center City Philadelphia,0,842,801007,2,1,CHW842
FOX,SID189324,FOX842_20260622_SID189324,Fox Chase,0,842,004815,2,1,FOX842
FOX,SID189324,FOX845_20260622_SID189324,Center City Philadelphia,1,845,815005,2,1,FOX845
CHW,SID189324,CHW845_20260622_SID189324,Chestnut Hill West,1,845,007801,2,1,CHW845
CHW,SID189324,CHW846_20260622_SID189324,Center City Philadelphia,0,846,801007,2,1,CHW846
FOX,SID189324,FOX846_20260622_SID189324,Fox Chase,0,846,004815,2,1,FOX846
FOX,SID189324,FOX849_20260622_SID189324,Center City Philadelphia,1,849,815005,2,1,FOX849
CHW,SID189324,CHW849_20260622_SID189324,Chestnut Hill West,1,849,007801,2,1,CHW849
CHW,SID189324,CHW850_20260622_SID189324,Center City Philadelphia,0,850,801007,2,1,CHW850
FOX,SID189324,FOX850_20260622_SID189324,Fox Chase,0,850,004815,0,1,FOX850
FOX,SID189321,FOX8507_20260627_SID189321,Center City Philadelphia,1,8507,815005,0,1,FOX8507
PAO,SID189321,PAO8507_20260627_SID189321,Thorndale,1,8507,007501,0,1,PAO8507
FOX,SID189792,FOX8507_20260621_SID189792,Center City Philadelphia,1,8507,815005,0,1,FOX8507
PAO,SID189792,PAO8507_20260621_SID189792,Malvern,1,8507,007501,0,1,PAO8507
FOX,SID189778,FOX8507_20260726_SID189778,Center City Philadelphia,1,8507,815005,0,1,FOX8507
